global_round,sha_pass,compression_index,local_round,feature,comparison,prevhash_count,bje_count,mean_rank_biserial,median_rank_biserial,bootstrap_ci_low,bootstrap_ci_high,mean_ks
2,1,0,2,T2_chain_count,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,T2_carry_mask_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,new_e_carry_count,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,new_e_maximum_chain,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,new_e_chain_count,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,new_e_carry_mask_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,new_a_carry_count,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,new_a_maximum_chain,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,new_a_chain_count,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0,2,new_a_carry_mask_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,0,3,state_a_before_normalized,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,0,3,state_a_before_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,0,3,state_a_before_bit_transitions,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,0,3,state_b_before_normalized,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,0,3,state_b_before_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,0,3,state_b_before_bit_transitions,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,0,3,state_c_before_normalized,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,0,3,state_c_before_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,0,3,state_c_before_bit_transitions,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,0,3,state_d_before_normalized,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,0,3,state_d_before_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,0,3,state_d_before_bit_transitions,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,0,3,state_e_before_normalized,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,0,3,state_e_before_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
